job title,Experience Needed,Location,Posted date,Salary,Company,Job type,Description,Requirements,Job link
Real Estate Brokerage - Operations Analyst,More Than 2 Years,"6th of October, Giza, Egypt",1 month ago,Confidential,Unimix Egypt for Readymix concrete,Full Time,"Compiles and manages inventory data from estate agents.
Manages and updates the database as requested.
Creates the company’s inventory to record any transactions for the units.
Prepares sales documentation in case of booking, reserving or buying units.
Prepares and sends calculation sheet to the Sales team with full details about the price of the unit and payment terms.
Coordinates sales contracts and adds it to the database sheet to update the project’s status.
Modifies the clients’ contracts, in coordination with the concerned department(s).
Understands thoroughly the terms and articles of contracts to answer clients’ inquiries.
Sends the updated inventory to the Sales department after any sales transaction to avoid any overlapping in the selling of units.
Follows up on the booked and reserved units to ensure deadlines are met.
Creates and distributes daily weekly, and monthly sales analytics.
Follows up with the documents which need to be signed by overseas clients.
Coordinates with the concerned departments in any adjustments requested by clients and ensures the amendments are written in the contract.
Monitors agreements (other than that of the sales contract) in accordance with the Sales Director.
Maintains an audit file for each unit which will include a copy of the contract, and required documents.
Supports and coaches the Sales Team with CRM trainings","At least 2-year experience in the real estate industry is a must.
BSc of Business Administration, or related disciplines.
1 - 3 years of experience in Sales and Operations.
Proficiency in MS Office.
Full working proficiency in both English and Arabic.
Individuals interact with the Sales, Marketing, and Finance Departments, the company's respective departments, and individuals related to the company's projects.",https://wuzzuf.net/jobs/p/oAljE0Ii0GC4-Real-Estate-Brokerage---Operations-Analyst-Unimix-Egypt-for-Readymix-concrete-Giza-Egypt?o=21&l=sp&t=sj&a=Data Analyst|search-v3|navbg
Academic Quality Unit Analyst,More Than 2 Years,"Sheikh Zayed, Giza, Egypt",1 month ago,Confidential,Nile University,Full Time,"The academic quality unit analyst works under the supervision of the academic quality unit manager to enhance quality of academic operations. 
He/she will perform specific quality-related functions such as assisting the academic program or school in properly documenting their current processes, questioning the added value for tasks within current processes, and recommending ways to simplify/automate their processes. 
In addition, he/she will assist in developing and preparing quality related training material, plan and organize training sessions and follow up with Academic personnel in adopting various quality tools in their day-to-day activities
Responsibilities
Assisting the Academic Quality Unit Manager in evaluating the tasks involved in each academic process within the program or the school
Working with the Academic Quality Analyst (QMO) in developing and maintaining the CI projects timeline and monitoring their progress towards completion within the allotted time frame and the estimated budget.
Identifying, documenting, and sharing the lessons learned from NU schools as related to accreditation and quality improvement processes in the academic area.
Following up, accumulating, and summarizing the quarterly quality KPI reports for the program/ school
Supporting the development and conducting of the training programs and workshops for the Academic School for the purpose of creating an improved quality culture within the NU Academic community
Assisting the documentation teams within the school in documenting, identifying, and resolving workflow and process issues of Academic Unit.
Documenting and maintaining a “Lessons Learned” data base of the improvement identified by the Academic Units
Assisting in development of reports and presentations of KPI’s for the Academic Quality Unit ","Qualifications
Education, Professional Knowledge & Experience
A bachelor’s degree in business, finance, or engineering
Working knowledge of reengineering Academic processes and identifying value-added activities and ways to simplifying and automate them.
Coaching, training, and advising skills.
Familiarity with elements of national and international quality system requirements such as NAQAAE, ABET, and ISO 9000.
Ability to collect relevant data and effectively summarize and analyze the data for helping decision makers to improve the Academic processes
Effective communicator with management and working associate levels.
Language Skills:
Excellent command of English & Arabic
Computer Skills:
Good command in MS packages specifically spread sheets (Excel) and PowerPoint
Representative and has strong presentation skills
Familiarity with the different software/ applications / systems used in process improvement such as Visio and data analysis
Has the initiative to self-learning & development to stay updated regarding the latest quality techniques.",https://wuzzuf.net/jobs/p/Gh8QaPSsC9Bi-Academic-Quality-Unit-Analyst-Nile-University-Giza-Egypt?o=22&l=sp&t=sj&a=Data Analyst|search-v3|navbg
Cost Analyst,More Than 5 Years,"10th of Ramadan City, Cairo, Egypt",17 days ago,Confidential,Kandil Industries,Full Time,"Determine standard costs and evaluate differences between standard and actual costs. 
Prepare detailed reports on a regular and ad-hoc basis, charts, and graphs in support of analyses.
Primary support for the generation of the monthly internal financial package.
Collect and evaluate financial information.
Changes in procedures or methods should be tracked to determine the impact on total expenses.
Calculate the costs of existing and new items.
Examine data to help with reducing costs in all operations.
Provides detailed financial analysis and reports of expenses including breakdowns of project costs, forecasts of remaining expenses, and opportunities to increase efficiency.
Analyze revenue performance and sales forecast.
Generate, maintain and validate company KPIs.","Bachelors degree in Commerce, Accounting is required.
5 years of related experience is required.
Excellent analytical skills.
Excellent organizational skills and attention to detail.
Thorough understanding of cost accounting principles and procedures.
Proficient in Microsoft Office Suite or similar software, as well as, accounting software.
Excellent verbal and written communication skills.",https://wuzzuf.net/jobs/p/v7ruQEdYA2eq-Cost-Analyst-Kandil-Industries-Cairo-Egypt?o=23&l=sp&t=sj&a=Data Analyst|search-v3|navbg
HR Analyst,2 To 4 Years,"Giza, Egypt",14 days ago,Confidential,Confidential,Full Time," Analyzes data and statistics for trends and patterns with attention to recruitment, hiring practices, motivation, turnover, and compliance with employment laws and regulations.
Prepares reports of data results, presenting and explaining findings to senior leadership.
Identifies and recommends reasonable short- and long-term goals, milestones, and benchmarks for key performance metrics.
Based on metrics and analysis, makes recommendations for policies and activities to improve the organizational culture including suggestions to attract and hire qualified candidates, to motivate and retain employees, to address staffing issues, and to maintain legal compliance.
Facilitates implementation of new training, development, recruiting, and other related initiatives.
May conduct or assist with conducting classification audits to ensure that jobs are properly classified as exempt or nonexempt.
Ensures compliance with data privacy regulations and best practices.
May assist HR leadership with staffing, recruiting, and departmental budgets.
May guide and/or assist with performance, benefit, and compensation review and evaluation processes.
Performs other duties as assigned.","Strong experience in workload analysis
Bachelors degree in Human Resources, Business Administration, Industrial Psychology, or related field required.
Excellent verbal and written communication skills.
Strong analytical and problem-solving skills.
Proficient with Microsoft Office Suite or related software.",https://wuzzuf.net/jobs/p/cWeAIHgxNGSN-HR-Analyst-Giza-Egypt?o=24&l=sp&t=sj&a=Data Analyst|search-v3|navbg
Associate Business Research Analyst,1 To 3 Years,"New Cairo, Cairo, Egypt",14 days ago,Confidential,MENA INTEL,Full Time,"Carry out business information investigation tasks about third party companies by phone
Conduct web research on commercial entities through open public domain research
Initiate outbound calls through telephonic interviews for sourcing information
Source company data from external sources
Translate company data from Arabic to English 
Maintan operations by following policies, procedures ;reporting  needed changes","Excellent telephonic skills and online searching skills
Previous call center experience is A must
Ability to work under pressure and perform multiple tasks and be open to change as per the project requirement
Excellent command of English (written and verbal)
Able to meet task deadlines and able to work individually or within a team",https://wuzzuf.net/jobs/p/qQrAD540UVyD-Associate-Business-Research-Analyst-MENA-INTEL-Cairo-Egypt?o=25&l=sp&t=sj&a=Data Analyst|search-v3|navbg
Costing Analyst,5 To 7 Years,"10th of Ramadan City, Cairo, Egypt",18 days ago,Confidential,Allweiler Farid Hassanein,Full Time,"Allweiler-Farid Hassanein Pumps is looking for a Cost Analyst to join the team with previous experience of 5 to 7 years in a manufacturing company (mandatory) according to the following:
Collect and analyze information to determine costs of business activities such as the purchase of raw materials and costs of production process.
Determine fixed costs.
Plan and record variable costs.
Review standard and actual costs for inaccuracies
Prepare budgeting reports (for the company and for each department)
Analyze and report profit margins
Prepare (monthly, quarterly and annual) cost forecasts
Assisting in month-end and year-end closing
Identify and recommend cost-effective solutions
Make estimation of new and proposed costs of production.
Analyze changes on the methods of production, goods and services provided, and even raw materials to know how they affect cost.
Maintain the documentation of data and any statistical arrangement in cost analysis
Assist in the preparation of the annual budget to make sure that standard costs for all productions are calculated in line with budget consideration.
Conducts market research as needed to recommend changes to pricing .","Allweiler-Farid Hassanein Pumps is looking for a Cost Analyst to join the team with previous experience of 5 to 7 years in a manufacturing company (mandatory)
Excellent analytical skills.
Excellent organizational skills and attention to detail.
Thorough understanding of cost accounting principles and procedures.
Excellent verbal and written communication skills.
Able to prioritize tasks and to manage workloads in an effective manner with minimal direct supervision and flexibility in managing multiple and diverse tasks.
Effective problem-solving skills and ability to work under pressure in time critical situations
Bachelors degree in Accounting .",https://wuzzuf.net/jobs/p/fRokDjyOtCyo-Costing-Analyst-Allweiler-Farid-Hassanein-Cairo-Egypt?o=26&l=sp&t=sj&a=Data Analyst|search-v3|navbg
Business Analyst (Project Based - 1 year),1 To 2 Years,"Cairo, Egypt",11 days ago,Confidential,ITS,Full Time," Experience showing adhering to Best practices to BABOK Standards is a plus.
 Should show proven experience in writing documents using UML, Use Case, User Stories, Activity Diagram, EPIC etc. Those without this experience will not be considered.
 Strong analytical and management skills, including a thorough understanding of how to interpret customer business needs and translate them into application and operational requirements
 Proven experience in translating Business requirements into functional specifications • Transferring Business knowledge to technical team which will also involve proper analysis, documentation and presentation.
 Collecting, understanding, and transmitting the business requirements for projects, and translating these into functional specifications and test plans. This includes specifications related to applications, integrations, data migration and reports
 Document workflows and results of business analysis and obtain sign-off from stakeholders on the specifications
 Improves system by studying current practices; designing modifications.
 Serve as the conduit between the customer and the software development team by crafting and proposing valid, compelling solutions that meet customer business requirements throughout the development lifecycle
 Excellent verbal and written communication skills and the ability to interact professionally with a diverse group, executives, managers, and subject matter experts
 BA Certification is a plus and will be given preference.","Education : Candidate must possess at least a Bachelor of Science , Bachelor of Computer Application , Bachelor of Engineering/Technology, Master of Computer Application/Computer Science or equivalent with aggregate of 70% and above.
 Minimum 1 to 2 years experience in Customs, Supply Chain Management, Logistics and 
Transportation Management / Freight Forwarding / Warehousing Domain Knowledge is preferable. b. Customs domain experience is an advantage. c. Knowledge of Agile is preferable
Multi-Lingual (Arabic and English) proficiency in speaking and documentation is a must.",https://wuzzuf.net/jobs/p/xOKWHHGR8Yet-Business-Analyst-Project-Based---1-year-ITS-Cairo-Egypt?o=27&l=sp&t=sj&a=Data Analyst|search-v3|navbg
Digital Marketing Analyst,5 To 10 Years,"Nasr City, Cairo, Egypt",20 days ago,Female,zari solution,Full Time,"Collecting and analyzing customer, marketing, and web behavioral data.
Testing campaigns, analyzing key metrics, and identifying opportunities to increase campaign performance.
Developing and presenting learnings from your analyses, including actionable insights and recommendations.
Developing digital campaign and web measurement strategies.
Creating dashboards, data visualizations, and campaign and website performance reports.
Monitoring and analyzing digital media and marketing trends.
Communicating and presenting to colleagues, senior managers, and clients.","Bachelor's degree in marketing or a related field.
Experience with analytical and reporting tools, including Tableau, Google Analytics, and Data Studio.
Deep knowledge of digital marketing across social, display, and programmatic platforms.
Strong analytical and strategic thinking skills.
Ability to make data-driven decisions.
Excellent interpersonal and collaboration skills.
Strong communication and presentation skills.",https://wuzzuf.net/jobs/p/6XaPztD6NMvN-Digital-Marketing-Analyst-zari-solution-Cairo-Egypt?o=28&l=sp&t=sj&a=Data Analyst|search-v3|navbg
Business Development Analyst,1 To 2 Years,"Maadi, Cairo, Egypt",12 days ago,Confidential,Cilantro,Full Time,"Job Purpose:
Business development analysts are responsible for optimizing business processes and increasing revenue. 
They evaluate operations and finances, research sales leads, and develop improved business strategies and are also required to report to senior business development managers. 
They analyze opportunities and strategies to identify new opportunities and cost reductions to increase sales revenue. 
They report findings and add value to product offerings to increase sales.
Key Responsibilities will Include:
Manage the development and maintenance of departmental databases and periodical reports.
Develop, maintain, and monitor project plans and deliverables.
Lead the development and management of account plans that include both short and long-term growth opportunities.
Develop business proposals through research and gathering collectible intel to develop solutions.
Prepare and edit internal presentations to support critical decision-making by senior management.
Prepare all materials in support of the enterprise planning process.
Liaison with various business units as determined by the manager for specific projects.
Collaborate with internal and external vendors to design and implement annual communication campaigns.
Develop detailed flowcharts and models, implement specifications, and perform modifications from design reviews, prototype evaluations, and assessment testing.
Monitor and analyze competitor data to recognize and articulate important events and trends.
Assist with the integration of new products and services within the proposal system, including updating, rewriting, and editing the various databases used in creating proposals.","Bachelor's or Graduate's Degree in business, computer science, information systems or business administration, or equivalent experience.
Experience with Python & Power BI/Tableau software and systems.
Strong leadership and critical thinking skills.
Familiarity with object-oriented programming.
A strong work ethic and strict attention to detail.
Demonstrated ability to collaborate and problem-solve.",https://wuzzuf.net/jobs/p/GoCdQMMeBTqX-Business-Development-Analyst-Cilantro-Cairo-Egypt?o=29&l=sp&t=sj&a=Data Analyst|search-v3|navbg
Business Analyst,1 To 3 Years,"Sheraton, Cairo, Egypt",20 days ago,Confidential,BlueCloud,Full Time,"Review, analyze and evaluate business systems and user needs. 
Handle requirements gathering and data breakdown to prove high-qualified services/ products. 
Assist with process modeling to clarify business requirements, and to enhance or re-engineer business processes. 
Develop and maintain relevant business required documents such as (Functional requirement specification (FRS)/ Functional Specification Document (FSD), System requirement specification (SRS)/ System Requirement Document (SRD), Requirement traceability matrix (RTM), Use Case Diagrams, Wireframes, Mockups, Change Request Document). 
Develop and design Product roadmaps, Epics, and User Stories and ensures each story has the correct acceptance criteria. 
Gathers, manages, and prioritizes the product backlog and Handle backlog grooming & refinement  
Collaborate with the stakeholders, or delegated members of the applicable business group to define the scope and pinpoint problem areas, vision, strategy, and target audience. 
Collaborate with the development team as the customer advocate to ensure adherence to business requirements and UI design specifications. 
Handle the Project Tracing during the implementation phase  
Create a Success Matrix after the launch phase to evaluate the project as per the defined KPIs earlier 
Facilitate communication and awareness of the standards and quality expectations of the stakeholders  ","BSc in Computer science, Computer Engineering or ITI.
1-3 Years of experience as a business analyst.
Excellent English verbal and written communication skills with strong presentation skills.
Strong negotiation, problem-solving, reasoning & decision-making skills.
Strong technical and business writing skills
Familiar with Agile & waterfall SDLC
CBAP and CSPO are preferred.",https://wuzzuf.net/jobs/p/EjtxVxaSg5N0-Business-Analyst-BlueCloud-Cairo-Egypt?o=30&l=sp&t=sj&a=Data Analyst|search-v3|navbg
Accounting Analyst,2 To 5 Years,"Downtown, Cairo, Egypt",14 days ago,Males Preferred,Cairo Transport & Touring,Full Time,"We are looking for an accounting , track and evaluate day-to-day activities. his  responsibilities include establishing financial status by developing and implementing systems for collecting, analyzing, verifying and reporting information in addition to the following requirements:
Manage and oversee the daily operations of the accounting department including:
Accounts payable/receivable
Cash receipts
General ledger
Treasury
Cash forecasting
TAX accounting
Revenue and expenditure variance analysis
Trust account statement reconciliations,
Debt activity
Monitor and analyze accounting data and produce financial reports or statements
Coordinate and complete annual audits
 ","Bachelor of Commerce minimum major good
Background in Finance on Travel agency for incoming business
Ability to manipulate large amounts of data
V. Good English language.
Age: from 23 up to 35 Maximum
Excellent Analytical / Auditing skills
Experience with accounting software prefer Gats system or any software system .
Communication Skills
Must have a strong Cost systems background and have excellent analytical skills; sound understanding of accounting principals.
Strong Computer skills & MS knowledge (Word, PowerPoint, Excel)
2-5 years of experience in the same role",https://wuzzuf.net/jobs/p/iVIvRPwcn9yI-Accounting-Analyst-Cairo-Transport-Touring-Cairo-Egypt?o=31&l=sp&t=sj&a=Data Analyst|search-v3|navbg
Financial Analyst ( Banking Sector ),5 To 7 Years,"Mohandessin, Giza, Egypt",21 days ago,Confidential,Argaam,Full Time,"Summary:
Argaam website follows up on the joint stock companies in the Gulf stock markets, and provide investors and Stockholders with the indicators and analytical data to decisions easier to buy and sell by make statics and numbers more clear and simple.
For the importance of the banking sector and the plenty of it`s company, we created the page for this sector, which includes basic information, whether in terms of data or financial indicators, and for its importance to investors at the present time, we look forward to developing the page for the better.
We need to hire someone, who has a very good background in the banking sector, understands their financial statements and analysis, knows what the investor and Stockholders, followers need from a database, and prepares the reports to help them make the best decisions, we have a good base of reports already, financial statements and indicators, but we need to develop it and suggest a new indicators and new data.
Job description:
Preparing and suggest a reports for the banking sector, constantly.
follow up and prepare the financial and non-financial indicators for the banking sector
reviewing the financial statements issued quarterly by banks, and analyze it
Read the detailed annual financial reports of the banks
Suggesting development ideas for the banking sector page
Review and follow-up of all data and indicators for the company website.
Analyze financial information to forecast business, industry and economic conditions for use in making investment decisions.","Bachelor’s degree in Business/Finance/Marketing/Economics.
5-7 years of Experience in Banking Sector is a Must.
Excellent in English is a Must.
Strong analysis and writing skills.",https://wuzzuf.net/jobs/p/9nYPNcpHf8UU-Financial-Analyst-Banking-Sector-Argaam-Giza-Egypt?o=32&l=sp&t=sj&a=Data Analyst|search-v3|navbg
Financial Analyst ( Insurance Sector ),5 To 7 Years,"Mohandessin, Giza, Egypt",21 days ago,Confidential,Argaam,Full Time,"Summary:
Argaam website follows up on the joint stock companies in the Gulf stock markets, and provide investors and Stockholders with the indicators and analytical data to decisions easier to buy and sell by make statics and numbers more clear and simple.
For the importance of the insurance sector and the plenty of it`s company, we created the page for this sector, which includes basic information, whether in terms of data or financial indicators, and for its importance to investors at the present time, we look forward to developing the page for the better.
We need to hire someone, who has a very good background in the insurance sector, understands their financial statements and analysis, knows what the investor and Stockholders, followers need from a database, and prepares the reports to help them make the best decisions, we have a good base of reports already, financial statements and indicators, but we need to develop it and suggest a new indicators and new data.
Job description:
Preparing and suggest a reports for the insurance sector, constantly.
follow up and prepare the financial and non-financial indicators for the insurance sector.
reviewing the financial statements issued quarterly by insurance companies, and analyze it.
Read the detailed annual financial reports of the insurance companies.
Suggesting development ideas for the insurance sector page
Review and follow-up of all data and indicators for the company website.
Analyze financial information to forecast business, industry and economic conditions for use in making investment decisions.","Bachelor’s degree in Business/Finance/Marketing/Economics.
5-7 years of Experience in insurance Sector is a Must.
Excellent in English is a Must.
Strong analysis and writing skills.",https://wuzzuf.net/jobs/p/rn4rh50dK9Vr-Financial-Analyst-Insurance-Sector-Argaam-Giza-Egypt?o=33&l=sp&t=sj&a=Data Analyst|search-v3|navbg
Financial Analyst,1 To 3 Years,"10th of Ramadan City, Cairo, Egypt",20 days ago,Male,Confidential,Full Time,"Finance Planning & Budgeting is one of the key departments of an organization covering a range of
activities from basic bookkeeping to providing relevant, reliable, timely and accurate financial
information in the form of various financial reports to assist management in the process of strategic
decision making. The financial information in turn forms a basis for financial analysis. In this way,
financial analyst plays a vital role in a business organization. In fact, a financial analyst performs
various job roles and responsibilities.
MAJOR ACCOUNTABILITIES:
Preparing Annual Budget, Strategy plan and monthly rolling forecast for the company and
Supervise budget development process, prepare and formulate business plans.
Budget Controlling, Analyse financial statements (income statement, balance sheet , cash flow )
This includes monthly financial reporting packages with variance analysis Actual vs Budget
Taking into account company’s goals and financial position and benchmarking
Prepare and maintain monthly, quarterly, and annual reports gauging progress towards goals
Prepare Capital budget and new projects and make feasibility study and give recommendations
Issuing Management Reports for Top management and board of directors
Due diligence, Merge and Acquisition case study Preparing IPO, Initial Public Offering case study
Communicate financial goals and milestones to stakeholders","Minimum Qualifications:
Bachelor degree in : finance/accounting or any equivalent major
Minimum Experience:
1-3 years of experience
Job specific Skills:
Good Expertise in data analytics.
Good communications skills – interpersonal, written and verbal.
Good understanding of accounting, budgets, forecasts, and cost control.
Good computer software skills. (Excel, knowledge of ERA, Visio, SharePoint system)
Ability to solve practical problems and deal with a variety of concrete variables in hard situations",https://wuzzuf.net/jobs/p/kBN8WPv2fq7d-Financial-Analyst-Cairo-Egypt?o=34&l=sp&t=sj&a=Data Analyst|search-v3|navbg
Sales Analyst,3 To 5 Years,"6th of October, Giza, Egypt",1 month ago,Confidential,Harvest Foods,Full Time,"Compile and analyze data to forecast sales trends.
Collaborate with sales managers to create sales forecasts.
Review past sales data to determine trends in productivity.
Prepare accurate reports using data from internal and external sources.
Adapt knowledge of customer strategies to company strategy to optimize sales potential
Comparing day-to-day sales productivity Job Requirements
Technical qualifications
Advance in Excel
(Pivot Table, Functions, Relation Between Tables)
Professional in Microsoft office.","Bachelor's Degree 
Proficiency with Sales & data analysis. 
Strong mathematical skills. 
Attention to detail. 
Professional Microsoft office.",https://wuzzuf.net/jobs/p/W0CmnbmeOH1G-Sales-Analyst-Harvest-Foods-Giza-Egypt?o=35&l=sp&t=sj&a=Data Analyst|search-v3|navbg
Business Analyst (Project Base One-Year),1 To 3 Years,"6th of October, Giza, Egypt",20 days ago,Confidential,Qsource,Freelance / Project,"We are hiring for international Automotive Company located in 6 of October ( Project base One Year )
IS Business Analyst 
Responsibilities:
Managing different Stakeholders
Tracking and Monitoring Analysis Documents
Ensure and validate BRDs, SRSs and integration documents preparation as per the business needs.
Support vendor technical teams by clarifying requirements or business concerns raised during project implementation phases.
Communicate the requirements with business and development teams and perform sanity testing for developed solutions.
Ensure required master data and other relevant information, Guidelines, printing docs, infra details to be collected and shared with development team
Validate and consolidate the required data collection sheets required for the Go-Live
Conducting all necessary meetings with all stakeholders to conclude the tasks & requirements
Develop and manage a detailed project schedule and work plan
Should be able to understand, define and document the scope
Identify risks early, perform risk analysis, and plan risk mitigation strategies
Get connected with all vendors to provide integration Support during Development phase
Track Key users on the project pending tasks. Give Guidance and advice in applying processes.
Should be able to report any scope change and route the same through change management board","Graduated from Computer Science or Relevant.
Have from 1-2 years of experience in Software Development Domain is Must
Very good English is Must
Demonstrates understanding of project management processes
Business Analysis experience Must
Manages products delivery
Excellent client-facing and interpersonal communication skills
 Excellent written and verbal communication skills
 Solid organizational skills including attention to detail and multitasking skills
 Strong working knowledge of Microsoft office (MS Projects, Visio, Excel, Word, and PowerPoint).",https://wuzzuf.net/jobs/p/wujEDuzfU3VN-Business-Analyst-Project-Base-One-Year-Qsource-Giza-Egypt?o=36&l=sp&t=sj&a=Data Analyst|search-v3|navbg
Business Analyst,More Than 3 Years,"Cairo, Egypt",18 days ago,Confidential,Youxel,Full Time,"Determine operational objectives by studying business functions; gathering information; evaluating output requirements and formats
Construct workflow charts and diagrams; studying system capabilities; writing specifications
Improve systems by studying current practices; designing modifications
Recommend controls by identifying problems; writing improved procedures
Maintain user confidence and protect operations by keeping information confidential
Prepare technical reports by collecting, analyzing and summarizing information and trends
Interpret, evaluate and interrelate research data and develop integrated business analyses and projections for incorporation into strategic decision-making
Perform daily, weekly and monthly reviews and analyses of current processes using operational metrics and reports
Understand and communicate the functional and operational impact of any changes","More than 2 years of experience.
Preferred to have experience in a software industry.",https://wuzzuf.net/jobs/p/xoAKrGpg1fPw-Business-Analyst-Youxel-Cairo-Egypt?o=37&l=sp&t=sj&a=Data Analyst|search-v3|navbg
Pricing Analyst,5 To 6 Years,"Cairo, Egypt",1 month ago,8000 To 12000 PKR Per Month,Cartlow,Full Time,"Immediate hiring! 
We are looking for an innovative Pricing Analyst to increase our business's competitiveness and profitability. In this role, you will be analyzing competitor pricing, preparing market share and revenue forecasts, and comparing the outcomes of different pricing strategies.
You should possess sound knowledge of quantitative and qualitative data analysis methods and experience in a similar role. An accomplished pricing analyst is someone who can translate pricing data into actionable profit-enhancing strategies. You should be able to conduct research to learn the history of the product and previous market trends and make changes to the price as necessary to maximize profit.
Responsibilities:
Assessing data from a variety of sources to gain insights into pricing strategies and market trends.
Analyzing competitor pricing and market trends to increase market share and profitability.
Tracking customer engagement to develop effective pricing strategies for products and offerings.
Applying statistical modeling methods to determine the potential impact of pricing strategies on profitability.
Recommending pricing strategies that align closely with market trends and identifying new market segments.
Forecasting revenue and market share based on market trends, production costs, profit margins, and sales volumes.
Collaborating with sales and marketing departments on developing and implementing competitive pricing strategies.
Developing dynamic pricing tools to effectively respond to changing market needs and trends.
Preparing and presenting pricing analysis findings to executives, marketing teams, and sales staff.
Keeping informed on pricing analysis methods and industry trends.
  ","A bachelor's degree in mathematics, statistics, finance, economics, or in a related field.
A master’s degree in business administration will be advantageous.
A minimum of five years' experience as a pricing analyst in a similar industry.
Proficiency in business intelligence (BI) software, such as Sisense and InetSoft Style Intelligence so on
In-depth knowledge of statistical methods and data analysis.
Extensive experience in analyzing pricing strategies and forecasting revenue and market share.
Experience in collaborating on pricing strategies with sales and marketing departments.
Ability to keep abreast of industry trends and develop dynamic pricing tools.
Advanced ability to present pricing analysis reports to relevant stakeholders.
Excellent analytical and communication skills.",https://wuzzuf.net/jobs/p/Ag72XCA87RiJ-Pricing-Analyst-Cartlow-Cairo-Egypt?o=38&l=sp&t=sj&a=Data Analyst|search-v3|navbg
Digital Marketing Analyst / Manager,More Than 2 Years,"Sheikh Zayed, Giza, Egypt",21 days ago,Confidential,Bayt Misr,Full Time,"Bayt Misr is a new startup that aims to revolutionize mortgage financing in Egypt. Our plan is to fully digitize the journey from the moment a client decides to buy a property till they acquire the financing. It's a long journey and we would love for you to be part of it.
What we are building right now is a strong data driven marketing department that aims at acquiring new mortgage eligible clients and properties. 
And that’s where your expertise comes into play. We basically need you to be able to:
Create digital marketing campaigns on all digital marketing campaign platforms (Meta, Google, Linkedin … etc)
Track marketing campaigns performance.
Analyze campaigns qualitative data and feed it back to the new campaigns created.
Fluently analyze and report on website performance.
Continuously improve by capturing and analyzing the appropriate data/metrics, insights and best practices, and then acting on the information ( social analytics tools knowledge).","Data Driven thinking and strong analytical skills
Up-to-date with the latest trends and best practices in online marketing and measurement
Highly creative with experience in identifying target audiences and devising digital campaigns that engage, inform and motivate
Proven working experience in digital marketing
Team player
Excellent command of the English language.
Familiarity with the Zoho ecosystem is a plus
Experience in Digital Marketing for real estate is a BIG plus.",https://wuzzuf.net/jobs/p/BsXDRLLuZ2B2-Digital-Marketing-Analyst-Manager-Bayt-Misr-Giza-Egypt?o=39&l=sp&t=sj&a=Data Analyst|search-v3|navbg
Senior Data Analyst - Business Intelligence,3 To 5 Years,"Maadi, Cairo, Egypt",2 months ago,Confidential,Confidential,Full Time,"Track, collect, and interpret data, then analyze results using statistical techniques
Conduct training to new users of the company's new CRM users
Identify, analyze and interpret trends or patterns in complex data set
Provide insights and make recommendations based on data analysis
Prepare and deliver an insights-based Weekly, Monthly, Quarterly & Annually Social Media Business
 Review & Report with data from Social Media Analytics dashboards, Microsoft Power BI , Google Analytics and similar platforms to present actionable insights in a visually appealing format.
Aggregate data collected from Clients' social accounts with the goal of identifying trends and insights
Acquire data from Zoho CRM ,Office 365 SharePoint, Social Media Platforms,
Apply Data Cleaning Techniques for historical data.
Interpret data & analyze results to provide ongoing reports and dashboards on Oracle CRM and Microsoft Power BI.
Translate their findings of trends, wrong data entries… into easy-to-understand reports, dashboards & presentations for management to get a clear picture of the department’s operations and ways to improve them.
Build company balance scorecard model using Microsoft Power BI.
Analyze the historical data to forecast and create staffing scenarios for inbound and outbound business functions.
 ","3+ years in a data analyst role at least.
Perfect in using Excel Power Query, Microsoft Power BI, Odoo CRM, and Oracle CRM ( Eloqua, Right Now … etc)
Expert-level proficiency with Excel and PowerPoint. Experience with Social Media Dashboards, Google Analytics, and Data Visualization tools.
Ability to collaborate effectively and work as part of a team
Strong attention to detail
Solid understanding of core social channels; LinkedIn, Facebook, Twitter, Instagram, YouTube, along with their corresponding data sets and common KPIs.
Ability to analyze complex data sets and effectively communicate actionable insights to support goals and objectives.
Collaborative in nature with a passion for developing relationships.
Strong project management skills with the ability to prioritize multiple requests in a fast-paced environment.
Bachelor’s Degree in Business Administration or Business Informatics is a plus.

 ",https://wuzzuf.net/jobs/p/1oerHgpFNrG0-Senior-Data-Analyst---Business-Intelligence-Cairo-Egypt?o=40&l=sp&t=sj&a=Data Analyst|search-v3|navbg
Sales Admin & Analyst (FMCG),More Than 2 Years,"Giza, Egypt",25 days ago,Confidential,Confidential,Full Time,"Performs various data analysis, sales office administration and executive secretary within Sales department .
Analyzes Sales targets against the actual Sales.
Upload registers & files in the company information system.
Monitor all campaign results & all related reports.
Qualify & allocated sales leads.
Assists Sales Manager in coordinating with other departments.
Assists Sales Manager and Sales Team in all areas within Egypt in compiling and analyzing sales data.
Prepares daily, weekly and monthly region sales reports specifying product types.
Assists the Sales Manager and Sales Team in developing business proposals and other documents.
Receives all correspondence to Sales Department staff in their absence; distributes all correspondence from the sales department to other company units.
Coordinates with other company departments to solve problems related to Sales
Assists the Sales Manager in developing an effective sales plan.","Practical experience in FMCG sales
Advanced Excel Knowledge is a must.
Advanced PowerPoint Knowledge is a must.
2 Years Experience at least in admin or coordinator position.
Good communication skills.
Teamwork player.",https://wuzzuf.net/jobs/p/DDxjXT5TYTCl-Sales-Admin-Analyst-FMCG-Giza-Egypt?o=41&l=sp&t=sj&a=Data Analyst|search-v3|navbg
